"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
143,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel",143,"Diamagadio","",1212020,"12120204","Commune","Commune"
144,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel",144,"Diokoul Mbelbouck","",1212020,"12120201","Commune","Commune"
145,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel",145,"Kathiote","",1212020,"12120202","Commune","Commune"
146,201,"SEN","Senegal",5,"Kaffrine",15,"Kaffrine",37,"Katakel",146,"Medinatoul Salam Ii","",1212020,"12120203","Commune","Commune"
147,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",38,"Ida Mouride",147,"Fass Thiekene","",1232010,"12320102","Commune","Commune"
148,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",38,"Ida Mouride",148,"Ida Mouride","",1232010,"12320103","Commune","Commune"
149,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",38,"Ida Mouride",149,"Saly Escale","",1232010,"12320101","Commune","Commune"
150,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",39,"Lour Escale",150,"Lour Escale","",1232020,"12320201","Commune","Commune"
151,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",39,"Lour Escale",151,"Ribot Escale","",1232020,"12320202","Commune","Commune"
152,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",40,"Missirah Wadene",152,"Gainthe Pathe","",1232030,"12320301","Commune","Commune"
153,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",40,"Missirah Wadene",153,"Maka Yop","",1232030,"12320302","Commune","Commune"
154,201,"SEN","Senegal",5,"Kaffrine",16,"Koungheul",40,"Missirah Wadene",154,"Missirah Wadene","",1232030,"12320303","Commune","Commune"
155,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii",155,"Darou Miname Ii","",1242010,"12420101","Commune","Commune"
156,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii",156,"Khelcom","",1242010,"12420103","Commune","Commune"
157,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii",157,"Ndiobene Samba Lama","",1242010,"12420104","Commune","Commune"
